hotspot_id,centroid_lat,centroid_lon,police_station,impact,frequency,persistence,recency,priority_score,global_rank,station_rank,risk_tier,anomaly_score
dbscan-2,12.97204820746674,77.57754543421795,Upparpet,0.8687369947595371,1.0,1.0,1.0,94.52688062200014,1,1,HIGH,1.0
dbscan-3,12.98225577969929,77.60768952171658,Shivajinagar,0.8857631070829026,0.42577188550834233,1.0,0.9877212993653288,76.80976618183686,2,1,HIGH,0.7486
dbscan-5,12.987550197013993,77.54989169061739,Vijayanagara,0.8784029144251256,0.4132222097083005,1.0,0.989556849875095,76.00453976930953,3,1,HIGH,0.8253
dbscan-11,12.936068848975886,77.69255468800853,HAL Old Airport,0.8867098831393911,0.2436567824561968,0.96,0.9513898016311391,65.9197066801174,4,1,HIGH,0.6794
dbscan-32,13.010084246684455,77.5533405655521,Malleshwaram,0.8820800675162205,0.17098128811159558,1.0,0.9937391808705632,61.098593314269,5,1,HIGH,0.6585
dbscan-34,13.000098358902274,77.57118565397627,Malleshwaram,0.8855160514994648,0.16237349765900277,1.0,0.9829107136984168,60.30932558633704,6,2,HIGH,0.6069
dbscan-61,13.070998626521206,77.5884522057758,Kodigehalli,0.9008381807835971,0.09888500957315013,0.8933333333333333,0.9872007145990542,52.48133282774668,7,1,HIGH,0.6658
dbscan-30,12.967234327302458,77.53790746330942,Vijayanagara,0.8848655472270026,0.07666564767589658,0.9733333333333334,0.9827980710479159,49.70763266363723,8,2,HIGH,0.5083
dbscan-24,13.185431177961876,77.68009371973817,Chikkajala,0.8688262545941879,0.07666564767589658,0.9533333333333334,0.988831286860518,49.18590450436655,9,1,HIGH,0.7703
dbscan-7,13.008480206155411,77.69538150440084,K.R. Pura,0.8750365336194084,0.0675429987289431,0.9933333333333333,0.9765330254972371,48.09252738739402,10,1,HIGH,0.6143
dbscan-44,13.035570848516313,77.58906467666169,Hebbala,0.8785981296747937,0.055813878654288614,0.9066666666666666,0.9840152951241629,45.14830683722688,11,1,HIGH,0.5227
dbscan-28,12.973462401099331,77.61887622011014,Halasur,0.8908698322844978,0.04934596881888244,0.9733333333333334,0.975660453815305,44.5949566101413,12,1,HIGH,0.4484
dbscan-15,12.969116896586845,77.64343075848025,Jeevanbheemanagar,0.8801135321739183,0.04060946374269947,0.94,0.9834741206372883,42.02544339503946,13,1,HIGH,0.4837
dbscan-35,12.928479582130583,77.58316410451032,Jayanagara,0.8858129018923061,0.037311151513201295,0.9533333333333334,0.9832261818081437,41.365991143840894,14,1,HIGH,0.387
dbscan-17,12.841836116177909,77.6460570837155,Electronic City,0.9132622798230067,0.03393239264395926,0.8533333333333334,0.9863186109062441,40.014570105984625,15,1,HIGH,0.6214
dbscan-114,12.963169265083879,77.7171692622737,HAL Old Airport,0.8943266410749358,0.04519492220809937,0.62,0.8840636953004919,39.33885810201371,16,2,HIGH,0.4668
dbscan-79,12.996317348070177,77.66863848742568,Mahadevapura,0.8776192963745705,0.03248435312856982,0.88,0.9832036450143247,39.17726169464448,17,1,HIGH,0.482
dbscan-8,12.91240759030681,77.63623533035334,HSR Layout,0.8896283188867463,0.03269351439190385,0.8333333333333334,0.9765554093884732,38.986758314662886,18,1,HIGH,0.3769
dbscan-121,12.981285967608898,77.59846434708064,Shivajinagar,0.8984084781635155,0.034575965761910125,0.7466666666666667,0.9202256172102169,38.48509979892171,19,2,HIGH,0.4693
dbscan-27,12.957785328615666,77.70155381773948,HAL Old Airport,0.875389611393063,0.02955609544189339,0.9133333333333333,0.9760630822817,38.46713707490335,20,3,HIGH,0.4955
dbscan-23,13.000341435249208,77.67691616127459,Mahadevapura,0.8939507254527983,0.0335140701172912,0.7533333333333333,0.9508229803996692,38.365831341328956,21,2,HIGH,0.4207
dbscan-55,12.975708541431528,77.55969587702948,Magadi Road,0.882208630966465,0.029395202162405678,0.88,0.9759735949326118,38.24810107729154,22,1,HIGH,0.4168
dbscan-102,12.944033964661397,77.57132576807702,Basavanagudi,0.7394172674985593,0.03636188116422377,0.94,0.9859343508770985,38.14346932238962,23,1,LOW,0.5602
dbscan-80,12.9533079381044,77.5424627613437,Byatarayanapura,0.8685337421523025,0.029202130227020416,0.8733333333333333,0.9828431265589568,37.929485307383395,24,1,HIGH,0.6664
dbscan-18,12.992605356544377,77.58894501135259,High ground,0.7609679580941766,0.04804273325503194,0.5933333333333334,0.9501258178383926,37.521517327393674,25,1,LOW,0.5451
dbscan-4,12.99552609555881,77.61267759799902,Pulikeshinagar(F.Town),0.750807774587499,0.032822229015494024,0.82,0.9738283581372397,36.33194560769683,26,1,LOW,0.4758
dbscan-45,12.95980099392605,77.6467994046681,Jeevanbheemanagar,0.8884597472928002,0.024214438562901227,0.84,0.9488200155140291,36.05015500405966,27,2,HIGH,0.3597
dbscan-94,12.935421071050895,77.61515092293457,Adugodi,0.8630480199647879,0.024198349234952458,0.8,0.9953349225498735,35.53643054588071,28,1,HIGH,0.7236
dbscan-21,12.89036644193066,77.63892032359578,Hulimavu,0.7618520582484781,0.027062249609833798,0.86,0.9723785318808112,35.14910139082737,29,1,LOW,0.4506
dbscan-57,12.972577077832462,77.60714668736067,Ashok Nagar,0.7252531033659625,0.02780235869547729,0.88,0.9871780867038918,34.935913953180155,30,1,LOW,0.6845
dbscan-22,12.926959860771337,77.67869908013789,Bellandur,0.74816291660822,0.03233954917703088,0.6866666666666666,0.9484938454395246,34.74852163033792,31,1,LOW,0.4926
dbscan-86,13.027855550228743,77.57472053438504,Sadashivanagar,0.89053785613187,0.01966115875339887,0.78,0.9814473657187269,33.9204968037992,32,1,HIGH,0.3656
dbscan-20,12.995615304416555,77.6956772348578,Mahadevapura,0.8916221208288636,0.023586954772899137,0.5866666666666667,0.9883327709116363,33.58567370965531,33,3,HIGH,0.3831
dbscan-40,12.957407636669274,77.58616321641908,Wilson Garden,0.7416284952712029,0.020433446494939906,0.9733333333333334,0.9826629169070277,33.27920737273809,34,1,LOW,0.4056
dbscan-168,12.971751408802024,77.65809020342513,Jeevanbheemanagar,0.8781216887085891,0.019725516065193956,0.6466666666666666,0.9845567674021223,32.53128245029529,35,3,HIGH,0.4451
dbscan-29,12.971292337102177,77.59674633634842,Cubbon Park,0.7428822054455212,0.01906585361929432,0.7733333333333333,0.9836544790551263,31.263081152362904,36,1,LOW,0.3719
dbscan-77,12.906453972418936,77.63007630964066,HSR Layout,0.7647339780138089,0.020224285231605875,0.7066666666666667,0.9215554350453566,31.21717443288241,37,2,LOW,0.3903
dbscan-139,13.03011974428465,77.53738199527838,Yeshwanthpura,0.8762607832185134,0.013386320853377955,0.8,0.9843988072166747,30.78309743430149,38,1,HIGH,0.4718
dbscan-81,12.964369269491526,77.5539912168281,Magadi Road,0.8861884416220527,0.01314498093414638,0.7466666666666667,0.9841506352693391,30.358828720670278,39,2,HIGH,0.3248
dbscan-59,13.047497166356878,77.57562047063196,Kodigehalli,0.7435148754240979,0.017167312921339276,0.6933333333333334,0.9888086215905669,29.829549761868,40,2,LOW,0.3653
dbscan-83,13.191246668827878,77.64622201441394,Chikkajala,0.8735194154784538,0.015091789615947742,0.64,0.8568118061984566,29.673106933168615,41,2,HIGH,0.5414
dbscan-72,12.988742629672688,77.53773191211923,Vijayanagara,0.744840909408106,0.016234131900310523,0.6866666666666666,0.9772047654714435,29.3278148444506,42,3,LOW,0.3673
dbscan-16,13.005735423730629,77.68587078983494,K.R. Pura,0.7403400832276646,0.021334448860071114,0.5466666666666666,0.8235570376238216,29.170336126060803,43,2,LOW,0.4178
dbscan-69,13.062826016258352,77.58926123641426,Kodigehalli,0.90488218064205,0.014303412546457934,0.56,0.8518378815700108,28.886031362759717,44,3,HIGH,0.4437
dbscan-179,12.972104532137978,77.71173385386527,HAL Old Airport,0.8872159234585282,0.01345067816517304,0.5666666666666667,0.974632268799953,28.86618746579279,45,4,HIGH,0.3317
dbscan-46,13.018531088996372,77.53169355139057,Rajajinagar,0.7369501892901771,0.013161070262095152,0.7466666666666667,0.9845793352119372,28.21051509456832,46,1,LOW,0.4281
dbscan-82,12.962019265263157,77.59825020436091,Ashok Nagar,0.7284045980517843,0.021254002220327257,0.44666666666666666,0.8544778972563635,27.961539922290747,47,2,LOW,0.5212
dbscan-60,12.938495126527446,77.58450772693226,Wilson Garden,0.6783582260895662,0.014914807008511255,0.6866666666666666,0.9838574218113714,27.68707428390438,48,2,LOW,0.7615
dbscan-87,12.91686434258706,77.57360540496266,Banashankari,0.894282731819639,0.009026112979260856,0.7333333333333333,0.9735605352974723,27.59178889493391,49,1,HIGH,0.3354
dbscan-113,13.097278586758277,77.59932700217281,Yelahanka,0.7437387943007547,0.013305874213634097,0.64,0.9827079662220461,27.5219178273308,50,1,LOW,0.4477
dbscan-54,12.993566077670332,77.6625142753161,Banaswadi,0.6951688405758527,0.014399948514150563,0.6333333333333333,0.9561776101807685,27.153987179225492,51,1,LOW,0.6104
dbscan-63,13.024947130746744,77.58528059418937,R.T. Nagar,0.743216408552948,0.01100510031695976,0.74,0.9738060367534844,26.975023424206757,52,1,LOW,0.3477
dbscan-118,13.00039395802817,77.61134398098591,Pulikeshinagar(F.Town),0.7599272243562478,0.011278618892088877,0.6333333333333333,0.9542289803698788,26.46349140787792,53,2,LOW,0.3017
dbscan-128,12.96095694264706,77.51166186932775,Jnanabharathi,0.909321866725451,0.007513716152076327,0.68,0.9876533814392371,26.190465401447316,54,1,HIGH,0.4555
dbscan-37,12.978632584808885,77.63996309033419,Jeevanbheemanagar,0.8874928423328287,0.009814490048750664,0.52,0.9199514492874793,26.00149285291669,55,4,HIGH,0.3203
dbscan-309,12.932265891520863,77.63174198021534,Adugodi,0.8959858329927549,0.01180956671439834,0.3933333333333333,0.9540102815176269,25.993457871271097,56,2,HIGH,0.3712
dbscan-0,12.925206265505723,77.61877595039446,Madiwala,0.8890742148372576,0.01007191929593101,0.5133333333333333,0.860906563358212,25.862860738242215,57,1,HIGH,0.3301
dbscan-157,12.978146103013698,77.59094189232877,Cubbon Park,0.7438107861799297,0.011600405451064309,0.5133333333333333,0.9849856442574975,25.456439436582418,58,2,LOW,0.3421
dbscan-1,12.957295504624279,77.5188270601156,Byatarayanapura,0.8936418977371862,0.008205557253873506,0.52,0.9857535744323176,25.1917508082325,59,2,HIGH,0.3296
dbscan-10,12.899993773954106,77.6754971825192,Bellandur,0.7304875926719593,0.010232812575418724,0.5866666666666667,0.9875628314691303,25.16557659912567,60,2,LOW,0.5132
dbscan-105,12.979162720847265,77.69513942637398,Mahadevapura,0.8902849820507659,0.008318182549514906,0.5266666666666666,0.9133958685700461,25.016396612363046,61,4,HIGH,0.3165
dbscan-115,12.984056767822933,77.56116826005318,Rajajinagar,0.7530603180620181,0.009911026016443293,0.6,0.8929022024950491,25.00416715904891,62,2,LOW,0.296
dbscan-116,12.90806554575707,77.60078947620633,Mico Layout,0.9056605794272882,0.009524882145672776,0.3333333333333333,0.9209008402556301,23.80722453650714,63,1,HIGH,0.4263
dbscan-138,12.870469553109261,77.65492251949185,Electronic City,0.7646968020978308,0.008800862387978054,0.4866666666666667,0.9773615712749883,23.740049833407227,64,2,LOW,0.2751
dbscan-100,13.007746036551723,77.52682428712643,Rajajinagar,0.7587035626982436,0.006854053706176693,0.6333333333333333,0.9847824687799578,23.460822875220675,65,3,LOW,0.2355
dbscan-120,12.98963674912783,77.50186869371595,Kamakshipalya,0.8963781419462316,0.005872604701301627,0.5266666666666666,0.9847824687799578,23.254789247907556,66,1,HIGH,0.3333
dbscan-70,12.954176375321337,77.59176486838047,Wilson Garden,0.7491573383746142,0.0061139446205332,0.7266666666666667,0.9409580956567405,23.158593549264317,67,3,LOW,0.2291
dbscan-202,12.921379032906145,77.66647739524933,Bellandur,0.7389752854680129,0.006660981770791434,0.6666666666666666,0.9481460542796588,23.15525464185044,68,3,LOW,0.3265
dbscan-53,12.996659215115773,77.58425530035859,Sheshadripuram,0.9265732992935007,0.005631264782070053,0.49333333333333335,0.94660426890647,22.88003900466572,69,1,HIGH,0.6258
dbscan-47,12.912078156658927,77.62590516040815,HSR Layout,0.6950796830703762,0.006870143034125464,0.6466666666666666,0.983383953829886,22.756205404661397,70,3,LOW,0.4978
dbscan-221,12.913033036863347,77.67962441812783,Bellandur,0.7500837295251178,0.00590478335719917,0.6333333333333333,0.9866351727906906,22.505820377626424,71,4,LOW,0.2292
dbscan-159,13.01890521934348,77.55771026260017,Yeshwanthpura,0.8881038889542368,0.006307016555918459,0.49333333333333335,0.7473869346065218,22.335795199185018,72,2,HIGH,0.2945
dbscan-67,12.987432437905605,77.73455974926254,Whitefield,0.7576615430687369,0.010763760397728186,0.2866666666666667,0.952917538877449,22.290244921759143,73,1,LOW,0.3065
dbscan-93,13.027443381204817,77.54280481759035,Yeshwanthpura,0.8828867622943456,0.006532267147201261,0.4,0.9228660208528751,22.24901470841661,74,3,HIGH,0.3598
dbscan-74,12.979337869433463,77.62907582310115,Halasur,0.9098351232081409,0.005277299567197078,0.4666666666666667,0.9811099795388779,22.220152048861642,75,2,HIGH,0.4329
dbscan-144,13.058396005180143,77.59231402142596,Kodigehalli,0.8951539644822415,0.004826798384631474,0.5333333333333333,0.9841957527874942,22.183795548314293,76,4,HIGH,0.3162
dbscan-216,12.93602200177665,77.5179411606599,Byatarayanapura,0.8850717579452834,0.006194391260277058,0.4066666666666667,0.9537916327887613,22.159338564696096,77,3,HIGH,0.3078
dbscan-199,12.941657198230294,77.56708713331055,Basavanagudi,0.7129538643697405,0.006998857657715637,0.5266666666666666,0.975079172558159,22.138312299524205,78,2,LOW,0.3286
dbscan-65,12.929095680818415,77.60946990792839,Mico Layout,0.7653648575749884,0.006146123276430744,0.5666666666666667,0.8953000188054793,22.08810947014501,79,2,LOW,0.2317
dbscan-85,12.917400356406493,77.67225293528428,Bellandur,0.8850097686467291,0.004665905105143758,0.5266666666666666,0.9864542678463866,21.84901742869246,80,5,HIGH,0.3079
dbscan-160,13.05004146548117,77.59313475711298,Kodigehalli,0.7506427120847082,0.007545894807973871,0.41333333333333333,0.9483851470000377,21.847854420734063,81,5,LOW,0.2596
dbscan-265,13.039903792749246,77.51855328217522,Peenya,0.8824124506951476,0.005180763599504448,0.4866666666666667,0.9187924116307484,21.817049902730954,82,1,HIGH,0.3755
dbscan-56,12.888589204554604,77.56267911005808,Thalagattapura,0.7732720346137602,0.00550255015847988,0.5133333333333333,0.9821900237647552,21.447819457799966,83,1,LOW,0.2828
dbscan-245,12.942024212244897,77.52558315335277,Byatarayanapura,0.8817659767170959,0.005373835534889708,0.4,0.9843988072166747,21.384548622007422,84,4,HIGH,0.375
dbscan-48,13.021872798477157,77.59265072419628,R.T. Nagar,0.7388791882359794,0.00936398886618506,0.30666666666666664,0.8070560296102864,21.06994797688025,85,2,LOW,0.3662
dbscan-112,12.930902019607842,77.60666418357843,Mico Layout,0.7103257884424349,0.00641964185155986,0.47333333333333333,0.9406130676852391,21.062300365881878,86,3,LOW,0.3275
dbscan-142,12.876257838240916,77.59598123977055,Hulimavu,0.7083689124107715,0.008269914565668592,0.3333333333333333,0.9523279783790519,20.934991250334278,87,2,LOW,0.3902
dbscan-125,12.913686574013157,77.60651043421053,Mico Layout,0.7274773594896291,0.009637507441314176,0.2733333333333333,0.8536361165746956,20.7849225740039,88,4,LOW,0.3742
dbscan-204,12.951437121770164,77.71748173403205,Whitefield,0.8785678974528085,0.00621048058822583,0.3,0.9415190360605131,20.76299746782416,89,2,HIGH,0.4213
dbscan-141,13.008824715267176,77.54310329732824,Rajajinagar,0.8879657238874308,0.004070599971039209,0.43333333333333335,0.9771823666961406,20.306442693329284,90,4,HIGH,0.2925
dbscan-88,13.04588021788991,77.75033237201835,K.R. Pura,0.8855641631642723,0.00336266954129326,0.5466666666666666,0.9399018469988,20.14030091164179,91,3,HIGH,0.3119
dbscan-264,12.840483666591686,77.6768805491066,Electronic City,0.8728106563566014,0.006548356475150033,0.26666666666666666,0.8068155789305479,20.026773317972328,92,3,HIGH,0.5556
dbscan-257,12.987061803543309,77.58026580669292,High ground,0.9039355158034031,0.003941885347449037,0.41333333333333333,0.9451083163099663,19.996928832039018,93,2,HIGH,0.3501
dbscan-225,12.959753594776117,77.558174275,Chamarajpet,0.8848046655187756,0.004167135938731839,0.37333333333333335,0.8816151368202292,19.494387204314638,94,1,HIGH,0.314
dbscan-282,12.961006183970442,77.63707726707811,Halasur,0.7435775995236414,0.004456743841809728,0.44666666666666666,0.9812899043990461,19.47830876343674,95,3,LOW,0.2684
dbscan-187,13.121562737585034,77.63117949030612,Chikkajala,0.8989229492739169,0.004585458465399901,0.30666666666666664,0.9188766560177954,19.43822368675511,96,3,HIGH,0.3278
dbscan-14,13.045395657198444,77.50710785836577,Peenya,0.7348728726595876,0.003990153331295352,0.54,0.9137099690778522,19.379041335150735,97,2,LOW,0.3789
dbscan-12,12.988866111982823,77.59224966143968,High ground,0.7541627915905903,0.00418322526668061,0.4666666666666667,0.9495162199322094,19.35488378742348,98,3,LOW,0.2125
dbscan-154,12.911071137921681,77.5746703468153,J.P. Nagar,0.77897758201253,0.004907245024375332,0.37333333333333335,0.8495759400712954,19.191950017061487,99,1,LOW,0.3065
dbscan-42,12.945147261329977,77.59502803336842,Wilson Garden,0.6990572111482531,0.004440654513860956,0.46,0.984827615263963,19.1083168291618,100,4,LOW,0.3794
dbscan-103,12.913806600155903,77.58586069182172,J.P. Nagar,0.7394326098351495,0.00427976123437324,0.4533333333333333,0.8649019321654561,18.934022366315062,101,2,LOW,0.3084
dbscan-153,13.093635496774194,77.5942196471464,Yelahanka,0.7655357883748288,0.006339195211816003,0.24,0.9514116091945157,18.918741630565417,102,2,LOW,0.2357
dbscan-183,12.93612449296875,77.60692132343749,Mico Layout,0.7811620574990975,0.00397406400334658,0.3933333333333333,0.9471685752058303,18.720671095585477,103,5,LOW,0.2734
dbscan-49,12.936798248095238,77.60171387619047,Mico Layout,0.736325891318148,0.0032339549177030874,0.5333333333333333,0.977339168905497,18.54249029208776,104,6,LOW,0.1802
dbscan-104,12.875963434954409,77.64789203738601,Hulimavu,0.7264781567951404,0.005148584943606906,0.3333333333333333,0.8242746833561372,18.382202165969574,105,3,LOW,0.2653
dbscan-109,12.818943422500002,77.68877598958333,Electronic City,0.8979456246510176,0.003716634756166235,0.2866666666666667,0.9846470417451978,18.37828630196627,106,4,HIGH,0.3243
dbscan-111,12.925797949743588,77.63361822615386,Adugodi,0.8860249847875775,0.002992614998471514,0.38666666666666666,0.9809076035044921,18.373955556228548,107,3,HIGH,0.3056
dbscan-136,13.057287523502307,77.5469449046083,Jalahalli,0.7004218949718377,0.003346580213344489,0.4866666666666667,0.9751909305130031,17.99301588650963,108,1,LOW,0.3202
dbscan-108,13.035266111818448,77.62444684495817,K.G. Halli,0.7465990193955422,0.007545894807973871,0.26666666666666666,0.4445721310764252,17.82574683904349,109,1,LOW,0.3372
dbscan-174,12.987438587589196,77.61869026257477,Pulikeshinagar(F.Town),0.7563701859896045,0.0033787588692420316,0.38666666666666666,0.9843311177525755,17.787773450230336,110,3,LOW,0.2102
dbscan-43,12.926718062235649,77.55078795377644,Banashankari,0.7553323453008619,0.005180763599504448,0.23333333333333334,0.892431592734289,17.621191644039573,111,2,LOW,0.224
dbscan-203,12.917162569565217,77.59618414478261,Jayanagara,0.9086355512944099,0.003555741476678519,0.24,0.9730920225523506,17.593561748861426,112,2,HIGH,0.3963
dbscan-122,13.006922489344262,77.57962274672131,Sadashivanagar,0.7404321828050938,0.0037809920679613214,0.34,0.9109913491543881,17.47505204003755,113,2,LOW,0.296
dbscan-165,13.022291157342172,77.63859575527677,Banaswadi,0.701948831055939,0.003941885347449037,0.3333333333333333,0.9465608746577475,17.315945513925,114,2,LOW,0.3173
